DCC	DCC netrin 1 receptor
KCNC1	potassium channel, voltage gated Shaw related subfamily C, member 1
SCN1A	sodium channel, voltage gated, type I alpha subunit
SCN4B	sodium channel, voltage gated, type IV beta subunit
ADRBK2	adrenergic, beta, receptor kinase 2
AKT1	v-akt murine thymoma viral oncogene homolog 1
CAMK2A	calcium/calmodulin-dependent protein kinase II alpha
CDK5	cyclin-dependent kinase 5
CDKL5	cyclin-dependent kinase-like 5
CIT	citron rho-interacting serine/threonine kinase
ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
ERBB4	erb-b2 receptor tyrosine kinase 4
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
LRRK2	leucine-rich repeat kinase 2
MET	MET proto-oncogene, receptor tyrosine kinase
NTRK2	neurotrophic tyrosine kinase, receptor, type 2
PLXNA2	plexin A2
PRKCB	protein kinase C, beta
ABAT	4-aminobutyrate aminotransferase
ACE	angiotensin I converting enzyme
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
CNP	cyclic nucleotide hosphodiesterase
COMT	catechol-O-methyltransferase
DAO	D-amino-acid oxidase
GAD1	glutamate decarboxylase 1 (brain, 67kDa)
GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
HTRA2	HtrA serine peptidase 2
KLK6	kallikrein-related peptidase 6
MAOA	monoamine oxidase A
MAOB	monoamine oxidase B
MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)
PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
PRODH	proline dehydrogenase (oxidase) 1
SOD1	superoxide dismutase 1, soluble
SULF1	sulfatase 1
AUH	AU RNA binding protein/enoyl-CoA hydratase
B4GAT1	beta-1,4-glucuronyltransferase 1
CPNE6	copine VI (neuronal)
CREG2	cellular repressor of E1A-stimulated genes 2
CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1
ELAVL4	ELAV like neuron-specific RNA binding protein 4
EXTL1	exostosin-like glycosyltransferase 1
GBA	glucosidase, beta, acid
GDA	guanine deaminase
MAN1A1	mannosidase, alpha, class 1A, member 1
MOXD1	monooxygenase, DBH-like 1
PGAM1	phosphoglycerate mutase 1 (brain)
SLN	sarcolipin
AMBRA1	autophagy/beclin-1 regulator 1
CA10	carbonic anhydrase X
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2
SLITRK1	SLIT and NTRK-like family, member 1
AHI1	Abelson helper integration site 1
CRYM	crystallin, mu
FABP7	fatty acid binding protein 7, brain
FMR1	fragile X mental retardation 1
MBP	myelin basic protein
MOBP	myelin-associated oligodendrocyte basic protein
NNAT	neuronatin
PARK2	parkin RBR E3 ubiquitin protein ligase
PARK7	parkinson protein 7
PCP4	Purkinje cell protein 4
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3
UBE3A	ubiquitin protein ligase E3A
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
APP	amyloid beta (A4) precursor protein
CBLN2	cerebellin 2 precursor
CLDN5	claudin 5
LAMP5	lysosomal-associated membrane protein family, member 5
MOG	myelin oligodendrocyte glycoprotein
PARM1	prostate androgen-regulated mucin-like protein 1
PSEN1	presenilin 1
PSEN2	presenilin 2
TMEM145	transmembrane protein 145
BDNF	brain-derived neurotrophic factor
C1QL2	complement component 1, q subcomponent-like 2
CCK	cholecystokinin
CRH	corticotropin releasing hormone
CTGF	connective tissue growth factor
CXCL14	chemokine (C-X-C motif) ligand 14
NPY	neuropeptide Y
PDYN	prodynorphin
PENK	proenkephalin
PNOC	prepronociceptin
SST	somatostatin
TAC1	tachykinin, precursor 1
TAC3	tachykinin 3
VIP	vasoactive intestinal peptide
PLEKHB2	pleckstrin homology domain containing, family B (evectins) member 2
ANK3	ankyrin 3, node of Ranvier (ankyrin G)
APOE	apolipoprotein E
ARRB1	arrestin, beta 1
BLMH	bleomycin hydrolase
BLOC1S6	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin
BTG1	B-cell translocation gene 1, anti-proliferative
BZRAP1	benzodiazepine receptor (peripheral) associated protein 1
CHGB	chromogranin B (secretogranin 1)
COCH	cochlin
CRYAB	crystallin, alpha B
DCSTAMP	dendrocyte expressed seven transmembrane protein
DGCR8	DGCR8 microprocessor complex subunit
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha
EYA1	EYA transcriptional coactivator and phosphatase 1
HSPA2	heat shock 70kDa protein 2
HSPB8	heat shock 22kDa protein 8
IGFBP2	insulin-like growth factor binding protein 2, 36kDa
JAKMIP1	janus kinase and microtubule interacting protein 1
LNX1	ligand of numb-protein X 1, E3 ubiquitin protein ligase
LPL	lipoprotein lipase
MECP2	methyl CpG binding protein 2
NEFM	neurofilament, medium polypeptide
NES	nestin
NOS1AP	nitric oxide synthase 1 (neuronal) adaptor protein
NOS3	nitric oxide synthase 3 (endothelial cell)
NT5C2	5'-nucleotidase, cytosolic II
PAM	peptidylglycine alpha-amidating monooxygenase
PHACTR2	phosphatase and actin regulator 2
PINK1	PTEN induced putative kinase 1
PLVAP	plasmalemma vesicle associated protein
PRKCD	protein kinase C, delta
PRNP	prion protein
RPS6	ribosomal protein S6
S100B	S100 calcium binding protein B
STX1A	syntaxin 1A (brain)
TBP	TATA box binding protein
TGFB2	transforming growth factor, beta 2
TPP1	tripeptidyl peptidase I
VIM	vimentin
CRHBP	corticotropin releasing hormone binding protein
DKK3	dickkopf WNT signaling pathway inhibitor 3
IGFBP4	insulin-like growth factor binding protein 4
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
BAIAP3	BAI1-associated protein 3
CSNK1E	casein kinase 1, epsilon
DNER	delta/notch-like EGF repeat containing
DUSP6	dual specificity phosphatase 6
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
NOTCH4	notch 4
PRICKLE1	prickle homolog 1 (Drosophila)
RSPO2	R-spondin 2
WNT3A	wingless-type MMTV integration site family, member 3A
APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2
CALB1	calbindin 1, 28kDa
CALB2	calbindin 2
CHN2	chimerin 2
DISC1	disrupted in schizophrenia 1
FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4
GRP	gastrin-releasing peptide
GUCY1A3	guanylate cyclase 1, soluble, alpha 3
NRGN	neurogranin (protein kinase C substrate, RC3)
PDE10A	phosphodiesterase 10A
PDE1A	phosphodiesterase 1A, calmodulin-dependent
PDE1B	phosphodiesterase 1B, calmodulin-dependent
PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
PDE4B	phosphodiesterase 4B, cAMP-specific
PPP1R1A	protein phosphatase 1, regulatory (inhibitor) subunit 1A
PPP1R1B	protein phosphatase 1, regulatory (inhibitor) subunit 1B
PPP3CC	protein phosphatase 3, catalytic subunit, gamma isozyme
PRKCZ	protein kinase C, zeta
PTEN	phosphatase and tensin homolog
PVALB	parvalbumin
RASD2	RASD family, member 2
RASGEF1C	RasGEF domain family, member 1C
RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2
RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
RASL11B	RAS-like, family 11, member B
RGS4	regulator of G-protein signaling 4
RGS9	regulator of G-protein signaling 9
S100A10	S100 calcium binding protein A10
SNCA	synuclein, alpha (non A4 component of amyloid precursor)
SNCAIP	synuclein, alpha interacting protein
SNCG	synuclein, gamma (breast cancer-specific protein 1)
STAC2	SH3 and cysteine rich domain 2
TIAM1	T-cell lymphoma invasion and metastasis 1
TRHDE	thyrotropin-releasing hormone degrading enzyme
CADPS2	Ca++-dependent secretion activator 2
CPLX3	complexin 3
DLG3	discs, large homolog 3 (Drosophila)
DLG4	discs, large homolog 4 (Drosophila)
DTNBP1	dystrobrevin binding protein 1
GAP43	growth associated protein 43
HOMER1	homer homolog 1 (Drosophila)
NLGN1	neuroligin 1
NLGN3	neuroligin 3
NLGN4X	neuroligin 4, X-linked
NRXN1	neurexin 1
NRXN2	neurexin 2
SHANK3	SH3 and multiple ankyrin repeat domains 3
SNAP25	synaptosomal-associated protein, 25kDa
SV2C	synaptic vesicle glycoprotein 2C
SYN3	synapsin III
SYNGAP1	synaptic Ras GTPase activating protein 1
SYNPR	synaptoporin
SYT17	synaptotagmin XVII
SYT4	synaptotagmin IV
SYT6	synaptotagmin VI
VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)
ARX	aristaless related homeobox
ATF4	activating transcription factor 4
ATF5	activating transcription factor 5
CARTPT	CART prepropeptide
CREB1	cAMP responsive element binding protein 1
CUX2	cut-like homeobox 2
DLK1	delta-like 1 homolog (Drosophila)
DLX1	distal-less homeobox 1
DLX2	distal-less homeobox 2
DLX5	distal-less homeobox 5
DLX6	distal-less homeobox 6
EN2	engrailed homeobox 2
EOMES	eomesodermin
EPAS1	endothelial PAS domain protein 1
ETV1	ets variant 1
FEZF2	FEZ family zinc finger 2
FOS	FBJ murine osteosarcoma viral oncogene homolog
FOSB	FBJ murine osteosarcoma viral oncogene homolog B
FOXG1	forkhead box G1
FOXJ1	forkhead box J1
FOXP1	forkhead box P1
FOXP2	forkhead box P2
HOXA4	homeobox A4
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
LBX1	ladybird homeobox 1
LEF1	lymphoid enhancer-binding factor 1
LHX2	LIM homeobox 2
LHX6	LIM homeobox 6
LMO3	LIM domain only 3 (rhombotin-like 2)
LMO4	LIM domain only 4
LZTS1	leucine zipper, putative tumor suppressor 1
MEIS2	Meis homeobox 2
NEUROD1	neuronal differentiation 1
NEUROD6	neuronal differentiation 6
NKX2-1	NK2 homeobox 1
NPAS3	neuronal PAS domain protein 3
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
NR3C2	nuclear receptor subfamily 3, group C, member 2
NR4A2	nuclear receptor subfamily 4, group A, member 2
PAX6	paired box 6
PER1	period circadian clock 1
PGBD1	piggyBac transposable element derived 1
RARB	retinoic acid receptor, beta
RORB	RAR-related orphan receptor B
RXRG	retinoid X receptor, gamma
SATB2	SATB homeobox 2
SOX10	SRY (sex determining region Y)-box 10
SOX2	SRY (sex determining region Y)-box 2
TBR1	T-box, brain, 1
TCF4	transcription factor 4
TLE4	transducin-like enhancer of split 4
TRPS1	trichorhinophalangeal syndrome I
TSHZ1	teashirt zinc finger homeobox 1
ZIC1	Zic family member 1
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2
SLC17A6	solute carrier family 17 (vesicular glutamate transporter), member 6
SLC17A7	solute carrier family 17 (vesicular glutamate transporter), member 7
SLC17A8	solute carrier family 17 (vesicular glutamate transporter), member 8
SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1
SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
SLC30A3	solute carrier family 30 (zinc transporter), member 3
SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1
SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3
SLC8A2	solute carrier family 8 (sodium/calcium exchanger), member 2
A2M	alpha-2-macroglobulin
ACE	angiotensin I converting enzyme
APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2
APOE	apolipoprotein E
APP	amyloid beta (A4) precursor protein
BLMH	bleomycin hydrolase
KLK6	kallikrein-related peptidase 6
NOS3	nitric oxide synthase 3 (endothelial cell)
PLAU	plasminogen activator, urokinase
PSEN1	presenilin 1
PSEN2	presenilin 2
CCK	cholecystokinin
ABAT	4-aminobutyrate aminotransferase
AHI1	Abelson helper integration site 1
APOE	apolipoprotein E
AVPR1A	arginine vasopressin receptor 1A
BZRAP1	benzodiazepine receptor (peripheral) associated protein 1
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
CADPS2	Ca++-dependent secretion activator 2
CDK5	cyclin-dependent kinase 5
CNTN4	contactin 4
CNTNAP2	contactin associated protein-like 2
DLK1	delta-like 1 homolog (Drosophila)
DLX1	distal-less homeobox 1
DLX5	distal-less homeobox 5
DRD4	dopamine receptor D4
DRD5	dopamine receptor D5
EN2	engrailed homeobox 2
FOXP2	forkhead box P2
GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1
GRIA2	glutamate receptor, ionotropic, AMPA 2
GRIK2	glutamate receptor, ionotropic, kainate 2
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
MAOB	monoamine oxidase B
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2
MET	MET proto-oncogene, receptor tyrosine kinase
NCAM1	neural cell adhesion molecule 1
NLGN3	neuroligin 3
NLGN4X	neuroligin 4, X-linked
NPY1R	neuropeptide Y receptor Y1
NRXN1	neurexin 1
NRXN3	neurexin 3
OPRM1	opioid receptor, mu 1
OXTR	oxytocin receptor
PCDH9	protocadherin 9
PENK	proenkephalin
PRKCB	protein kinase C, beta
PTEN	phosphatase and tensin homolog
RELN	reelin
SHANK3	SH3 and multiple ankyrin repeat domains 3
SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1
UBE3A	ubiquitin protein ligase E3A
ADRBK2	adrenergic, beta, receptor kinase 2
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
CNR1	cannabinoid receptor 1 (brain)
CREB1	cAMP responsive element binding protein 1
CRH	corticotropin releasing hormone
CRHR1	corticotropin releasing hormone receptor 1
CRHR2	corticotropin releasing hormone receptor 2
DRD4	dopamine receptor D4
GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1
HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic
MAOA	monoamine oxidase A
PDE1A	phosphodiesterase 1A, calmodulin-dependent
SST	somatostatin
ABAT	4-aminobutyrate aminotransferase
ARC	activity-regulated cytoskeleton-associated protein
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2
GAP43	growth associated protein 43
GRIA1	glutamate receptor, ionotropic, AMPA 1
GRIA3	glutamate receptor, ionotropic, AMPA 3
GRIK1	glutamate receptor, ionotropic, kainate 1
GRM3	glutamate receptor, metabotropic 3
NTRK2	neurotrophic tyrosine kinase, receptor, type 2
OPRM1	opioid receptor, mu 1
PAX6	paired box 6
PDYN	prodynorphin
SCN1A	sodium channel, voltage gated, type I alpha subunit
VIP	vasoactive intestinal peptide
AHI1	Abelson helper integration site 1
DCX	doublecortin
DLG3	discs, large homolog 3 (Drosophila)
FMR1	fragile X mental retardation 1
PAX6	paired box 6
DLGAP3	discs, large (Drosophila) homolog-associated protein 3
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
GRM1	glutamate receptor, metabotropic 1
SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
ADORA2A	adenosine A2a receptor
CDK5	cyclin-dependent kinase 5
GFAP	glial fibrillary acidic protein
MAOB	monoamine oxidase B
MBP	myelin basic protein
NEFH	neurofilament, heavy polypeptide
NPY	neuropeptide Y
SNCG	synuclein, gamma (breast cancer-specific protein 1)
SOD1	superoxide dismutase 1, soluble
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
GBA	glucosidase, beta, acid
HTRA2	HtrA serine peptidase 2
LRRK2	leucine-rich repeat kinase 2
NR4A2	nuclear receptor subfamily 4, group A, member 2
PARK2	parkin RBR E3 ubiquitin protein ligase
PARK7	parkinson protein 7
PINK1	PTEN induced putative kinase 1
SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3
SNCA	synuclein, alpha (non A4 component of amyloid precursor)
SNCAIP	synuclein, alpha interacting protein
TBP	TATA box binding protein
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
CDKL5	cyclin-dependent kinase-like 5
MECP2	methyl CpG binding protein 2
AHI1	Abelson helper integration site 1
AKT1	v-akt murine thymoma viral oncogene homolog 1
APOE	apolipoprotein E
ATF4	activating transcription factor 4
ATF5	activating transcription factor 5
BDNF	brain-derived neurotrophic factor
BLOC1S6	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin
CAMK2A	calcium/calmodulin-dependent protein kinase II alpha
CCKAR	cholecystokinin A receptor
CHRNA7	cholinergic receptor, nicotinic, alpha 7 (neuronal)
CIT	citron rho-interacting serine/threonine kinase
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
COMT	catechol-O-methyltransferase
DAO	D-amino-acid oxidase
DISC1	disrupted in schizophrenia 1
DLG4	discs, large homolog 4 (Drosophila)
DRD1	dopamine receptor D1
DRD2	dopamine receptor D2
DRD4	dopamine receptor D4
DTNBP1	dystrobrevin binding protein 1
ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
ERBB4	erb-b2 receptor tyrosine kinase 4
FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GAD1	glutamate decarboxylase 1 (brain, 67kDa)
GRIK3	glutamate receptor, ionotropic, kainate 3
GRIK4	glutamate receptor, ionotropic, kainate 4
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
GRM7	glutamate receptor, metabotropic 7
HOMER1	homer homolog 1 (Drosophila)
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled
LINC00271	long intergenic non-protein coding RNA 271
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)
NDEL1	nudE neurodevelopment protein 1-like 1
NOS1AP	nitric oxide synthase 1 (neuronal) adaptor protein
NOTCH4	notch 4
NPAS3	neuronal PAS domain protein 3
NRGN	neurogranin (protein kinase C substrate, RC3)
PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
PDE4B	phosphodiesterase 4B, cAMP-specific
PGBD1	piggyBac transposable element derived 1
PLXNA2	plexin A2
PPP1R1B	protein phosphatase 1, regulatory (inhibitor) subunit 1B
PPP3CC	protein phosphatase 3, catalytic subunit, gamma isozyme
PRODH	proline dehydrogenase (oxidase) 1
PVALB	parvalbumin
RGS4	regulator of G-protein signaling 4
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2
SLC17A7	solute carrier family 17 (vesicular glutamate transporter), member 7
SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1
TAC1	tachykinin, precursor 1
TCF4	transcription factor 4
ZNF804A	zinc finger protein 804A
A2M	alpha-2-macroglobulin
CLDN5	claudin 5
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
MBP	myelin basic protein
MOBP	myelin-associated oligodendrocyte basic protein
MOG	myelin oligodendrocyte glycoprotein
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
C1QL2	complement component 1, q subcomponent-like 2
CALB1	calbindin 1, 28kDa
CBLN2	cerebellin 2 precursor
CCK	cholecystokinin
CHRNA7	cholinergic receptor, nicotinic, alpha 7 (neuronal)
CNR1	cannabinoid receptor 1 (brain)
CNTN4	contactin 4
CNTNAP4	contactin associated protein-like 4
COL24A1	collagen, type XXIV, alpha 1
CRYM	crystallin, mu
CTGF	connective tissue growth factor
CXCL14	chemokine (C-X-C motif) ligand 14
DISC1	disrupted in schizophrenia 1
ENC1	ectodermal-neural cortex 1 (with BTB domain)
ETV1	ets variant 1
FOXP2	forkhead box P2
GRIK4	glutamate receptor, ionotropic, kainate 4
LAMP5	lysosomal-associated membrane protein family, member 5
NDNF	neuron-derived neurotrophic factor
NEFH	neurofilament, heavy polypeptide
NR4A2	nuclear receptor subfamily 4, group A, member 2
NTNG2	netrin G2
OPRK1	opioid receptor, kappa 1
PCP4	Purkinje cell protein 4
PDE1A	phosphodiesterase 1A, calmodulin-dependent
PDYN	prodynorphin
PENK	proenkephalin
RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2
RORB	RAR-related orphan receptor B
RXFP1	relaxin/insulin-like family peptide receptor 1
SCN4B	sodium channel, voltage gated, type IV beta subunit
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SNCG	synuclein, gamma (breast cancer-specific protein 1)
SULF1	sulfatase 1
SV2C	synaptic vesicle glycoprotein 2C
SYNPR	synaptoporin
SYT17	synaptotagmin XVII
SYT6	synaptotagmin VI
TLE4	transducin-like enhancer of split 4
VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)
ABAT	4-aminobutyrate aminotransferase
CALB1	calbindin 1, 28kDa
CALB2	calbindin 2
CNR1	cannabinoid receptor 1 (brain)
